Station,Station_Name,Average_Delay(min),Right Time (0–15 min’s),Slight Delay (15–60 min’s),Significant Delay (>1 Hour),Cancelled/Unknown
PURI,Puri,6,89.0,7.0,2.0,2.0
BBS,Bhubaneswar,8,87.0,8.0,2.7,2.0
KGP,Kharagpur,10,85.0,9.0,3.4,2.0
ASN,Asansol,12,83.0,10.0,4.1,2.0
DDU,Pt Deen Dayal Upadhyaya Jn,14,81.0,11.0,4.8,2.0
PNBE,Patna Jn,16,79.0,12.0,5.5,2.0
MDT,Malda Town,18,77.0,13.0,6.2,2.0
NJP,New Jalpaiguri,20,75.0,14.0,6.9,2.0
RNY,Rangiya,22,73.0,15.0,7.6,2.0
GHY,Guwahati,24,71.0,16.0,8.3,2.0
DBRG,Dibrugarh,26,69.0,17.0,9.0,2.0
AGC,Agra Cantt,28,67.0,18.0,9.7,2.0
NDLS,New Delhi,30,65.0,19.0,10.4,2.0
NZM,Hazrat Nizamuddin,32,63.0,20.0,11.1,2.0
JHS,Jhansi Jn,34,61.0,21.0,11.8,2.0
BPL,Bhopal Jn,36,59.0,22.0,12.5,2.0
CSTM,Mumbai Cst,38,57.0,23.0,13.2,2.0
KYN,Kalyan Jn,40,55.0,24.0,13.9,2.0
